product_name,size,description,image,store_id,price,unit_price,is_special,special_type,special_buy_quantity,special_buy_price
Easter Milk Chocolate Bunny 100g,100g,,https://assets.woolworths.com.au/images/1005/6038922.jpg?impolicy=wowsmkqiema&w=260&h=260,4,2.8,$2.80/100g,False,,,
Woolworths Hot Cross Buns With Cadbury Milk Chocolate Chips 6 pack,6 pack,,https://assets.woolworths.com.au/images/1005/74280.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.4,$0.73/1ea,False,,,
Woolworths Chocolate Hot Cross Buns Inspired By Cadbury Caramello 4 pack,4 pack,,https://assets.woolworths.com.au/images/1005/6031444.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.0,$1.00/1ea,False,,,
Cadbury Oreo Chocolate Easter Eggs 112g,112g,,https://assets.woolworths.com.au/images/1005/551862.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.5,$4.02/100g,False,,,
Woolworths Fruitless Hot Cross Buns 6 pack,6 pack,,https://assets.woolworths.com.au/images/1005/747040.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.4,$0.73/1ea,False,,,
Cadbury Dairy Milk Chocolate Hollow Easter Egg Assorted 100g,100g,,https://assets.woolworths.com.au/images/1005/69782.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.5,$5.50/100g,False,,,
Cadbury Strawberry Chocolate Easter Eggs 118g,118g,,https://assets.woolworths.com.au/images/1005/253332.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.5,$3.81/100g,False,,,
Cadbury Turkish Delight Chocolate Easter Eggs 117g,117g,,https://assets.woolworths.com.au/images/1005/126322.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.5,$3.85/100g,False,,,
Cadbury Creme Egg Easter Chocolate 40g,40g,,https://assets.woolworths.com.au/images/1005/253326.jpg?impolicy=wowsmkqiema&w=260&h=260,4,1.75,$4.38/100g,False,,,
Woolworths Indulgent Apple & Cinnamon Hot Cross Buns 4 pack,4 pack,,https://assets.woolworths.com.au/images/1005/319362.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.4,$1.10/1ea,False,,,
Reese's Easter Peanut Butter Creme Egg 34g,34g,,https://assets.woolworths.com.au/images/1005/6048147.jpg?impolicy=wowsmkqiema&w=260&h=260,4,1.8,$5.29/100g,False,,,
Cadbury Top Deck Chocolate Easter Eggs 114g,114g,,https://assets.woolworths.com.au/images/1005/126318.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.5,$3.95/100g,False,,,
Cadbury Dairy Milk Peppermint Chocolate Easter Eggs 115g,115g,,https://assets.woolworths.com.au/images/1005/75528.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.5,$3.91/100g,False,,,
Woolworths Indulgent Hot Cross Buns With Cadbury Caramilk Chips 4 pack,4 pack,,https://assets.woolworths.com.au/images/1005/177201.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.0,$1.00/1ea,False,,,
KitKat Easter Milk Chocolate Mini Eggs Bag 90g,90g,,https://assets.woolworths.com.au/images/1005/104107.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.5,$5.00/100g,False,,,
Smarties Easter Milk Chocolate Mini Eggs Bag 81g,81g,,https://assets.woolworths.com.au/images/1005/104139.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.5,$5.56/100g,False,,,
Woolworths Brioche Hot Cross Buns With Cadbury Milk Chocolate Chips 4 pack,4 pack,,https://assets.woolworths.com.au/images/1005/6030647.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.0,$1.00/1ea,False,,,
Nestle Easter Milkybar Mini Eggs 95g,95g,,https://assets.woolworths.com.au/images/1005/6047035.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.5,$4.74/100g,False,,,
Woolworths Indulgent Cinnabon Filled Hot Cross Buns 4 pack,4 pack,,https://assets.woolworths.com.au/images/1005/927520.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.5,$1.38/1ea,False,,,
Darrell Lea Milk Chocolate Speckled Easter Eggs 120g,120g,,https://assets.woolworths.com.au/images/1005/399720.jpg?impolicy=wowsmkqiema&w=260&h=260,4,3.75,$3.13/100g,False,,,
Cadbury Crunchie Chocolate Easter Eggs 110g,110g,,https://assets.woolworths.com.au/images/1005/126321.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.5,$4.09/100g,False,,,
Cadbury Marshmallow Chocolate Easter Egg 35g,35g,,https://assets.woolworths.com.au/images/1005/811269.jpg?impolicy=wowsmkqiema&w=260&h=260,4,1.8,$5.14/100g,False,,,
Cadbury Dream White Chocolate Easter Eggs 110g,110g,,https://assets.woolworths.com.au/images/1005/796645.jpg?impolicy=wowsmkqiema&w=260&h=260,4,4.5,$4.09/100g,False,,,
Cadbury Mixed Bag Chocolate Easter Eggs Assorted 649g,649g,,https://assets.woolworths.com.au/images/1005/811309.jpg?impolicy=wowsmkqiema&w=260&h=260,4,20.0,$3.08/100g,False,,,
Woolworths Indulgent Caramelised Biscuit Filled Hot Cross Buns 4 pack,4 pack,,https://assets.woolworths.com.au/images/1005/6031581.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.5,$1.38/1ea,False,,,
Cadbury Dairy Milk Chocolate Easter Bunny 250g,250g,,https://assets.woolworths.com.au/images/1005/796873.jpg?impolicy=wowsmkqiema&w=260&h=260,4,10.5,$4.20/100g,False,,,
Darrell Lea Easter Bilby Milk Chocolate 100g,100g,,https://assets.woolworths.com.au/images/1005/194485.jpg?impolicy=wowsmkqiema&w=260&h=260,4,5.25,$5.25/100g,False,,,
