product_name,size,description,image,store_id,price,unit_price,is_special,special_type,special_buy_quantity,special_buy_price
JellyTots Novelty Tube 115g,115g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/2c1529da-6649-4385-9be5-0cd59595676b/JellyTots%20Novelty%20Tube%20115g,1,2.99,$2.60/100g,False,,,
Dark Cherry Greek Style Yogurt 4 Pack 115g,115g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/f0229a3f-6794-4d5d-8852-36304bba87e1/Dark%20Cherry%20Greek%20Style%20Yogurt%204%20Pack%20115g,1,4.29,$0.93/100g,False,,,
Monte Carlo Cream Biscuits 250g,250g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/b201e552-7041-49da-af94-3d0be8585e79/Monte%20Carlo%20Cream%20Biscuits%20250g,1,3.49,$1.40/100g,False,,,
Bath Mat Terry 2025 Assortment,Unknown,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/90b1c94a-96e7-4b5a-bcac-deead489fc8e/Bath%20Mat%20Terry%202025%20Assortment,1,9.99,,False,,,
"VISAGE, Breast Pump",Unknown,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/8bf39ee5-41f5-4a3d-acb8-958a38922a9e/VISAGE%20Breast%20Pump,1,59.99,,False,,,
Swiss Cheese Slices 200g,200g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/7c9957d4-69be-42e9-8d3d-a26d8201a51e/Swiss%20Cheese%20Slices%20200g,1,4.39,$21.95/1kg,False,,,
Ginger And Soy Yellowfin Tuna Chunks 95g,95g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/50211ea8-0614-47df-9212-4f26be93054e/Ginger%20And%20Soy%20Yellowfin%20Tuna%20Chunks%2095g,1,1.29,$13.58/1kg,False,,,
Office Wireless Half Headset with Dock,Unknown,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/9d91a690-8d67-481c-b0bc-bc64ae2e2c41/Office%20Wireless%20Half%20Headset%20with%20Dock,1,44.99,,False,,,
Crumbed Prawn Cutlets 360g,360g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/17ccac91-c16f-46e1-9ef1-31735761cdac/Crumbed%20Prawn%20Cutlets%20360g,1,5.99,$16.64/1kg,False,,,
"Wholefood Balls Cashew, Cocoa & Berry 16 Pack 184g",184g,,https://dm.apac.cms.aldi.cx/is/image/aldiprodapac/product/jpg/scaleWidth/232/2aa2d73b-9c24-45f0-b72e-6f1f19c793b1/Wholefood%20Balls%20Cashew%20Cocoa%20%20Berry%2016%20Pack%20184g,1,4.69,$2.55/100g,False,,,
